3,2371,10
3,25,6
4,25,6
4,10,8
4,2371,8
5,25,8
5,3251,6
7,25,10
7,2598,8
7,3251,8
8,25,32
8,10,14
8,1615,8
8,13,58
8,2371,18
8,261,4
8,44,4
8,2667,18
9,2632,4
9,2662,8
9,3749,4
9,3860,4
10,8,14
10,1615,14
10,4,8
10,48,4
10,2238,6
10,1791,6
10,2371,14
10,25,50
10,2210,4
10,2667,10
10,2265,4
10,2660,10
10,2720,6
10,2632,6
10,2744,10
10,1349,6
10,3157,8
10,1419,18
10,3860,6
10,3943,8
12,2371,8
13,25,38
13,8,58
13,48,6
13,2598,18
13,2371,26
13,1222,42
13,2667,24
13,3251,8
18,2371,4
18,25,6
24,25,8
24,3251,6
25,764,4
25,2265,18
25,638,18
25,1615,10
25,8,32
25,13,38
25,2373,12
25,4,6
25,2199,12
25,1657,14
25,26,20
25,1771,6
25,1840,6
25,2289,6
25,245,4
25,2297,8
25,2267,8
25,2312,4
25,2593,18
25,7,10
25,358,6
25,290,6
25,362,6
25,1419,8
25,926,12
25,48,8
25,1222,18
25,2598,16
25,2346,10
25,1828,4
25,411,24
25,2315,8
25,1791,14
25,2371,38
25,475,4
25,859,4
25,837,4
25,550,4
25,2463,4
25,2517,6
25,474,14
25,2238,10
25,2170,6
25,1679,6
25,1933,4
25,10,50
25,978,4
25,2667,18
25,1852,12
25,343,10
25,2210,4
25,2130,4
25,2473,6
25,229,6
25,2470,8
25,2369,6
25,285,6
25,24,8
25,3,6
25,18,6
25,258,4
25,403,6
25,5,8
25,804,4
25,2420,10
25,1398,4
25,767,6
25,1723,4
25,3182,4
25,2660,22
25,2614,8
25,2720,24
25,3157,10
25,2630,6
25,2934,4
25,2632,14
25,2633,4
25,2294,4
25,2744,22
25,3447,4
25,3416,4
25,2154,6
25,2955,10
25,3510,14
25,3518,4
25,3522,16
25,2607,6
25,2708,22
25,2662,16
25,2073,6
25,3610,6
25,3251,16
25,1349,4
25,1839,4
25,3749,14
25,2620,4
25,3882,14
25,3873,10
25,2139,10
25,3877,8
25,3855,14
25,32,4
25,3709,10
25,1810,4
25,3862,6
25,2142,6
25,2140,6
25,347,4
25,3860,12
25,3930,8
25,2631,14
25,1798,6
25,2165,4
25,3733,10
25,3943,16
25,2203,4
25,1608,6
25,3717,4
25,1573,8
25,3962,4
25,3964,6
25,3834,6
25,3937,6
25,3979,6
25,3984,24
25,726,14
25,3994,4
25,4023,4
25,186,4
25,1237,4
25,4087,6
25,4033,4
25,4049,8
25,4277,8
26,25,20
26,2371,34
32,25,4
38,1867,18
44,8,4
48,25,8
48,13,6
48,10,4
48,1808,4
48,716,4
88,2371,6
112,2744,6
186,25,4
229,1791,4
229,25,6
245,25,4
258,25,4
261,8,4
285,25,6
290,25,6
343,25,10
347,25,4
358,25,6
362,25,6
376,4087,6
392,2744,8
392,3157,6
403,25,6
411,25,24
411,2371,6
411,2660,8
411,2720,6
411,2744,28
411,4049,4
474,25,14
475,25,4
514,2744,10
550,25,4
574,2744,6
601,2614,6
638,25,18
638,2371,6
638,2265,6
638,2660,4
640,2744,6
716,48,4
726,25,14
752,4087,6
764,25,4
766,2744,6
767,25,6
804,25,4
837,25,4
859,25,4
900,4087,6
910,4087,6
914,4087,6
926,25,12
978,25,4
985,3984,10
1011,1791,4
1222,25,18
1222,2371,24
1222,13,42
1222,2744,4
1237,25,4
1349,10,6
1349,25,4
1398,25,4
1419,25,8
1419,10,18
1573,2614,6
1573,25,8
1608,2720,4
1608,25,6
1615,25,10
1615,10,14
1615,8,8
1615,2663,4
1657,25,14
1658,2600,6
1679,2238,4
1679,25,6
1687,2614,6
1723,25,4
1771,25,6
1791,229,4
1791,10,6
1791,1011,4
1791,25,14
1791,2744,4
1798,25,6
1808,48,4
1810,25,4
1828,25,4
1839,25,4
1840,25,6
1840,2667,8
1852,25,12
1855,2663,4
1867,38,18
1924,2607,4
1933,25,4
2020,2607,4
2022,2630,6
2033,2633,6
2073,25,6
2130,25,4
2139,25,10
2140,25,6
2142,25,6
2142,3943,4
2154,2744,4
2154,25,6
2165,25,4
2170,25,6
2170,2744,4
2199,25,12
2203,25,4
2210,10,4
2210,25,4
2238,10,6
2238,1679,4
2238,25,10
2241,3749,6
2265,25,18
2265,10,4
2265,638,6
2265,2593,6
2265,2297,8
2267,25,8
2267,2371,8
2267,2744,4
